accountId,groupUid,poolUid,arraySn,arrayType,hostName,arrayId,model,softwareVersion,supportStatus,sendingAsups,supportEndDate,supportAgrmt,arrayTimezone,arrayCapacityBytes,arrayFreeBytes,shelfCount,shelfSsdRawCapacityBytes,shelfHddRawCapacityBytes,isAllFlash,tenGigSfpPortCount,tenGigBaseTPortCount,gigPortCount,fcPortCount,arrayTotalRawSsdBytes,arrayTotalRawHddBytes,hardwareEosDate,hardwareSupportStatus,hpeSerialNumber,hpeSlaDescription,timelessStorage,hostInterface
0018000001DdqfaAAB,007d04a46dcfeca0ff000000000000000000000001,0a3299ddfa2d597c7e000000000000000000000001,AF-208949,all-flash,DDC1-QCNMB-03,02i2H000002Z7l8QAC,AF60,6.1.2.500-1053701-opt,EXPIRED,RECEIVED,8/2/2025,Premium 4 Hour Onsite,America/Chicago,1.36E+14,9.53E+13,0,1.84E+14,0,TRUE,8,2,0,0,1.84E+14,0,7/31/2028,CURRENT,5UM917007Y,4 HR Onsite Parts Replacement,FALSE,4 Dual 10Gbe SFP+;1 Dual 10GbaseT
0018000001DdqfaAAB,00795ad4d754e21a39000000000000000000000001,0a795ad4d754e21a39000000000000000000000005,AF-221843,adaptive-flash,HDC2-QDNMB-01,02i2H000009t5vzQAA,HF60,6.1.2.500-1053701-opt,EXPIRED,RECEIVED,8/2/2025,Premium 4 Hour Onsite,America/Chicago,1.35E+14,4.08E+13,1,1.15E+13,4.20E+13,FALSE,4,0,0,0,3.26E+13,1.68E+14,7/31/2028,CURRENT,5UM0280064,4 HR Onsite Parts Replacement,FALSE,2 Dual 10Gbe SFP+
0018000001DdqfaAAB,00795ad4d754e21a39000000000000000000000001,0a795ad4d754e21a39000000000000000000000004,AF-228863,adaptive-flash,HDC2-QDNMB-03,02i2H00000ALqyOQAT,HF60,6.1.2.500-1053701-opt,EXPIRED,RECEIVED,8/2/2025,Premium 4 Hour Onsite,America/Chicago,1.01E+14,2.20E+13,0,1.73E+13,1.26E+14,FALSE,6,0,0,0,1.73E+13,1.26E+14,7/31/2028,CURRENT,5UM110008X,4 HR Onsite Parts Replacement,FALSE,3 Dual 10Gbe SFP+
0018000001DdqfaAAB,00795ad4d754e21a39000000000000000000000001,0a443876bc61473d26000000000000000000000001,AF-214349,adaptive-flash,HDC2-QDNMB-04,02i2H000009wpumQAA,HF60,6.1.2.500-1053701-opt,EXPIRED,RECEIVED,8/2/2025,Premium 4 Hour Onsite,America/Chicago,2.37E+14,8.83E+13,1,1.15E+13,8.40E+13,FALSE,6,0,0,0,3.46E+13,2.94E+14,7/31/2028,CURRENT,5UM9420050,4 HR Onsite Parts Replacement,FALSE,3 Dual 10Gbe SFP+
0018000001DdqfaAAB,007d04a46dcfeca0ff000000000000000000000001,0a098acbab48bad7e6000000000000000000000001,AF-207343,all-flash,DDC1-QCNMB-02,02i3400000ADFsZAAX,AF60,6.1.2.500-1053701-opt,EXPIRED,RECEIVED,8/2/2025,Premium 4 Hour Onsite,America/Chicago,1.36E+14,2.93E+13,1,9.22E+13,0,TRUE,8,0,0,0,1.84E+14,0,7/31/2028,CURRENT,AF207343NIM,4 HR Onsite Parts Replacement,FALSE,4 Dual 10Gbe SFP+
0018000001DdqfaAAB,00795ad4d754e21a39000000000000000000000001,0a795ad4d754e21a39000000000000000000000002,AF-221813,all-flash,HDC2-QDNMB-02,02i2H000009t5vuQAA,AF40,6.1.2.500-1053701-opt,EXPIRED,RECEIVED,8/2/2025,Premium 4 Hour Onsite,America/Chicago,3.31E+13,7.17E+12,0,4.61E+13,0,TRUE,4,0,0,0,4.61E+13,0,7/31/2028,CURRENT,5UM028005W,4 HR Onsite Parts Replacement,FALSE,2 Dual 10Gbe SFP+
0018000001DdqfaAAB,,,AF-200862,unknown,,02i3400000955QaAAI,,,EXPIRED,NEVER,8/2/2025,Premium 4 Hour Onsite,,,,,,,FALSE,,,,,,,7/31/2028,CURRENT,AF200862NIM,4 HR Onsite Parts Replacement,FALSE,
0018000001DdqfaAAB,007d04a46dcfeca0ff000000000000000000000001,0a7d04a46dcfeca0ff000000000000000000000001,AF-204469,all-flash,DDC1-QCNMB-01,02i3400000AK1osAAD,AF60,6.1.2.500-1053701-opt,EXPIRED,RECEIVED,8/2/2025,Premium 4 Hour Onsite,America/Chicago,1.87E+14,1.13E+14,1,6.91E+13,0,TRUE,8,0,0,0,2.53E+14,0,7/31/2028,CURRENT,AF204469NIM,4 HR Onsite Parts Replacement,FALSE,4 Dual 10Gbe SFP+
0018000001DdqfaAAB,005137265f484eb72a000000000000000000000001,0a5137265f484eb72a000000000000000000000001,AF-221130,all-flash,HDC2-QDNMB-05,02iHr00000Bq5cMIAR,AF80,6.1.2.500-1053701-opt,CURRENT,RECEIVED,5/31/2026,Premium 4 Hour Onsite,America/Chicago,1.36E+14,2.21E+13,0,1.84E+14,0,TRUE,8,0,0,0,1.84E+14,0,7/31/2028,CURRENT,5UM027002Y,4 HR Onsite Parts Replacement,FALSE,4 Dual 10Gbe SFP+
